Group,Barcode,SampleName,Peptide,slope,r.seq,nobs
HPV-_0Gy,720012220,HPV-_0Gy_720012220,NCF1_296_308,10.445756681740221,0.9999825337798967,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CDN1A_139_151,11.054719492465376,0.9999973501891681,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RS6_228_240,8.36516693588102,0.9999347020068591,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,MYPC3_268_280,10.345426169441673,0.9999587023817413,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RYR1_4317_4329,7.281208334976058,0.9998525308958366,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,VTNC_390_402,10.034721113018874,0.9999944983512266,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,TRPM7_1498_1510,9.040780798464946,0.999869722927805,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,PTK6_436_448,9.269170796240102,0.9998865720220537,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,STK6_283_295,9.233800533603475,0.9999889811958707,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,NFKB1_330_342,7.406826714105817,0.9998328421433583,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,PPR1A_28_40,7.51048428476188,0.9998014804182442,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,GYS2_1_13,7.948918151910955,0.9999096085883968,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,ANDR_785_797,7.56382582627074,0.9997119388693243,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,GPSM2_394_406,6.869666585023016,0.9999105642469386,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,TPH2_10_22,6.848563892233653,0.9999406055446974,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,DESP_2842_2854,5.354228586790673,0.9919851420370605,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,FOXO3_25_37,7.7528697465326175,0.999214211114628,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CCR5_330_342,5.190942782711396,0.9982889956638931,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,MP2K1_287_299,7.290279724250027,0.9998450771911902,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CFTR_730_742,7.984606545876624,0.999962133193053,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,LIPS_944_956,9.99803153960379,0.9999884403420543,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,ACM4_456_468,5.844779771924093,0.9991940208494875,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,PDPK1_235_247,6.194663948150465,0.9972579569277683,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,MARCS_160_172,5.881258283578781,0.998585519584169,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,ACM1_444_456,6.623570954756822,0.9996572529578587,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RB_242_254,6.969915903399178,0.9996661041345656,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CO4A3_1429_1441,4.942735794555241,0.9986093362399459,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,GSUB_61_73,5.679347309681533,0.9964360587002097,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,NEK3_158_170,5.016913382936346,0.9747288977159881,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RAP1B_172_184,6.047689826196339,0.9983006523208067,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,PLEK_106_118,10.47958963055839,0.9999969817892226,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,PTN12_32_44,8.12889409793981,0.9997304582210242,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CGHB_109_121,6.836229035422533,0.9997452873803854,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,ADDB_696_708,4.832412379649242,0.9940100442925399,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CDC2_154_169,4.38060400221497,0.98444042388214,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,TRPM7_1466_1478,4.393613062776833,0.9904830316380934,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,MPIP3_208_220,4.145523657952178,0.9651645458534445,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,PP2AB_297_309,3.8495083734725495,0.9660642171466403,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,ERF_519_531,4.616375453352618,0.9939773208488213,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,BCKD_45_57,5.444507054082283,0.9919746143360473,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,XPO1_1049_1061,6.139358285146463,0.9967931669832746,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CAC1C_1974_1986,7.966437432658253,0.9996444273325383,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,KAP3_107_119,10.06364945756368,0.9999805919446922,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,NOS3_1171_1183,9.101207640805344,0.9999532924723507,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,FRAP_2443_2455,6.094650376386969,0.9968029687803929,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,LMNB1_16_28,4.481532911065751,0.9928721174004193,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,VASP_232_244,3.698344300138899,0.946082507195395,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RAF1_253_265,6.7207121131673535,0.9997741172977518,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RBL2_655_667,7.457264712257129,0.9997335137873541,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,EPB42_241_253,7.291670273794682,0.999588547042247,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,TOP2A_1463_1475,9.987129913913694,0.9999768371883689,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,EZH2_305_317,7.235698162880774,0.9997070824750215,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,ANXA1_209_221,5.988899006766751,0.9993116806141602,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,P53_308_323,5.0697410712905615,0.9970168791773132,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RB_350_362,5.738665883156045,0.9918044155599697,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,BAD_69_81,5.690986276694701,0.9991954874791408,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,AMOT_744_756,6.175208222249121,0.9987431369558587,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CENPA_1_14,8.219533852204021,0.9999482510738023,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,TY3H_65_77,9.16443262117091,0.9999902519060573,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,PKP1_167_179,6.791715798280014,0.9995287657000799,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RB_803_815,5.891382500852488,0.9986193118756936,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,NEK2_172_184,5.732535441746438,0.9996832686274806,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,MPIP1_172_184,7.580987349500741,0.9997400607405124,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CSF1R_701_713,9.206415433462833,0.999860003539587,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CREB1_126_138,8.918413238817768,0.9998827657645867,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,BAD_93_105,7.319544318755222,0.9998548621190131,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,MBP_222_234,6.391669166177923,0.9991231026625792,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,KCNB1_489_501,4.87755906349847,0.9973719676549866,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RADI_559_569,3.9480365783785496,0.989418584018454,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,KCNA3_461_473,5.195407030855994,0.9960499904920873,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,KCNA1_438_450,5.2116587597514945,0.9958835496896655,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,IRS1_788_800,8.046866605037975,0.9998842373683648,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,KCNH2_277_289,8.778015122140989,0.9998996529266567,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,REL_260_272,7.310312680168581,0.9996160981125295,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,KAPCG_192_206,5.214594050776041,0.9907256579216633,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,TAU_524_536,5.277704094630679,0.9994646994845605,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,GBF1_1331_1343,4.616375453352618,0.9890444309190505,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,PRKDC_2618_2630,5.392317422778761,0.9979931682322801,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,KS6A1_374_386,5.761927505876099,0.9993833127126507,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,VASP_271_283,7.822585861606905,0.9998658343897937,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,NMDZ1_890_902,9.489658652740344,0.9999570499128283,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,H2B1B_ 27_40,6.812691953686331,0.9998942017130534,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,IF4E_203_215,6.25863269519346,0.9975118181972373,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CDK7_163_175,5.727406765741362,0.9981952420016407,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RBM26_833_845,7.000850394979464,0.9993750021689265,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,ROA1_186_198,6.118353456786708,0.998262536890533,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,YAP1_374_386,4.05343925896146,0.9638074376462388,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,PLM_76_88,5.0697410712905615,0.989753842309134,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,FIBA_569_581,5.297219107715309,0.9968911536519304,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,KCC2G_278_289,4.148596492001801,0.983001067995728,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,NR4A1_344_356,6.710871398015062,0.9981433869006063,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RUNX3_8_20,8.351230950858692,0.9998593633702592,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,NCF1_321_333,8.97641551661912,0.999952766207544,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,ADDB_706_718,6.570714952171042,0.9990303108547245,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,H32_3_18,7.872921659824103,0.9998946441337434,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,RIT1_202_214,6.050978021445177,0.994641522321889,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,BUB1_207_219,5.317839206819484,0.9948168858575156,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,BAD_112_124,5.831456635963484,0.9991579640193066,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,GPR6_349_361,6.940521373489799,0.9998306095602265,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,KCNA2_442_454,7.280157956305058,0.999707208653755,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,ARHG2_166_178,5.617484792154596,0.9875036463985251,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,MARCS_152_164,6.184968881666762,0.9983707782179548,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,CD27_212_224,6.135491504378439,0.9997894282010659,5
HPV-_0Gy,720012220,HPV-_0Gy_720012220,SV2A_36_48,8.227547833396622,0.9998747843671428,5
